GCF_028748025.1;protein_0,GCF_025161015.1;protein_0,GCF_024799885.1;protein_0,GCF_051515105.1;protein_0,GCF_052120895.1;protein_3903,GCF_022700935.1;protein_1461,GCF_037997165.1;protein_0,GCF_006741845.1;protein_0,GCF_051028965.1;protein_618,GCF_039620435.1;protein_3436,GCF_052783415.1;protein_4,GCF_009662195.1;protein_0,GCF_022700975.1;protein_1006,GCF_053570475.1;protein_0,GCF_022370975.1;protein_0,GCF_004119775.1;protein_0,GCF_022453545.1;protein_0,GCF_014879275.1;protein_0,GCF_018884165.1;protein_0,GCF_027942395.1;protein_0,GCF_044499385.1;protein_0,GCF_009913275.1;protein_3081,GCF_047120225.1;protein_0,GCF_030123145.1;protein_0,GCF_030053655.1;protein_22,,,,,,,,,,,,,,,
GCF_028748025.1;protein_1,GCF_025161015.1;protein_1,GCF_024799885.1;protein_1,GCF_051515105.1;protein_1,GCF_052120895.1;protein_3904,GCF_022700935.1;protein_1460,GCF_037997165.1;protein_1,GCF_006741845.1;protein_1,GCF_051028965.1;protein_617,GCF_039620435.1;protein_3435,GCF_052783415.1;protein_5,GCF_009662195.1;protein_1,GCF_022700975.1;protein_1005,GCF_053570475.1;protein_1,GCF_022370975.1;protein_1,GCF_004119775.1;protein_1,GCF_022453545.1;protein_1,GCF_014879275.1;protein_1,GCF_018884165.1;protein_1,GCF_027942395.1;protein_4422,GCF_044499385.1;protein_1,GCF_009913275.1;protein_3080,GCF_047120225.1;protein_1,GCF_030123145.1;protein_1,GCF_030053655.1;protein_21,,,,,,,,,,,,,,,
GCF_028748025.1;protein_10,GCF_025161015.1;protein_10,GCF_024799885.1;protein_10,GCF_051515105.1;protein_10,GCF_052120895.1;protein_3913,GCF_022700935.1;protein_1451,GCF_037997165.1;protein_10,GCF_006741845.1;protein_10,GCF_051028965.1;protein_608,GCF_039620435.1;protein_3426,GCF_052783415.1;protein_14,GCF_009662195.1;protein_10,GCF_022700975.1;protein_996,GCF_053570475.1;protein_10,GCF_022370975.1;protein_10,GCF_004119775.1;protein_10,GCF_022453545.1;protein_10,GCF_014879275.1;protein_10,GCF_018884165.1;protein_10,GCF_027942395.1;protein_4413,GCF_044499385.1;protein_10,GCF_009913275.1;protein_3071,GCF_047120225.1;protein_10,GCF_030123145.1;protein_10,GCF_030053655.1;protein_12,,,,,,,,,,,,,,,
GCF_028748025.1;protein_100,GCF_025161015.1;protein_100,GCF_024799885.1;protein_100,GCF_051515105.1;protein_100,GCF_052120895.1;protein_4003,GCF_022700935.1;protein_1361,GCF_037997165.1;protein_100,GCF_006741845.1;protein_100,GCF_051028965.1;protein_518,GCF_039620435.1;protein_3336,GCF_052783415.1;protein_104,GCF_009662195.1;protein_100,GCF_022700975.1;protein_906,GCF_053570475.1;protein_100,GCF_022370975.1;protein_100,GCF_004119775.1;protein_100,GCF_022453545.1;protein_100,GCF_014879275.1;protein_100,GCF_018884165.1;protein_100,GCF_027942395.1;protein_4323,GCF_044499385.1;protein_100,GCF_009913275.1;protein_2981,GCF_047120225.1;protein_100,GCF_030123145.1;protein_100,GCF_030053655.1;protein_4503,,,,,,,,,,,,,,,
GCF_028748025.1;protein_1000,GCF_025161015.1;protein_1005,GCF_024799885.1;protein_992,GCF_051515105.1;protein_1028,GCF_052120895.1;protein_615,GCF_022700935.1;protein_431,GCF_037997165.1;protein_1031,GCF_006741845.1;protein_1028,GCF_051028965.1;protein_3994,GCF_039620435.1;protein_2285,GCF_052783415.1;protein_1007,GCF_009662195.1;protein_1003,GCF_022700975.1;protein_4290,GCF_053570475.1;protein_1028,GCF_022370975.1;protein_981,GCF_004119775.1;protein_1047,GCF_022453545.1;protein_1007,GCF_014879275.1;protein_1045,GCF_018884165.1;protein_1018,GCF_027942395.1;protein_3377,GCF_044499385.1;protein_1002,GCF_009913275.1;protein_2078,GCF_047120225.1;protein_1029,GCF_030123145.1;protein_999,GCF_030053655.1;protein_3575,,,,,,,,,,,,,,,
GCF_028748025.1;protein_1001,GCF_025161015.1;protein_1006,GCF_024799885.1;protein_993,GCF_051515105.1;protein_1029,GCF_052120895.1;protein_616,GCF_022700935.1;protein_430,GCF_037997165.1;protein_1032,GCF_006741845.1;protein_1029,GCF_051028965.1;protein_3993,GCF_039620435.1;protein_2284,GCF_052783415.1;protein_1008,GCF_009662195.1;protein_1004,GCF_022700975.1;protein_4289,GCF_053570475.1;protein_1029,GCF_022370975.1;protein_982,GCF_004119775.1;protein_1048,GCF_022453545.1;protein_1008,GCF_014879275.1;protein_1046,GCF_018884165.1;protein_1019,GCF_027942395.1;protein_3376,GCF_044499385.1;protein_1003,GCF_009913275.1;protein_2077,GCF_047120225.1;protein_1030,GCF_030123145.1;protein_1000,GCF_030053655.1;protein_3574,,,,,,,,,,,,,,,
GCF_028748025.1;protein_1002,GCF_025161015.1;protein_1007,GCF_024799885.1;protein_994,GCF_051515105.1;protein_1030,GCF_052120895.1;protein_617,GCF_022700935.1;protein_429,GCF_037997165.1;protein_1033,GCF_006741845.1;protein_1030,GCF_051028965.1;protein_3992,GCF_039620435.1;protein_2283,GCF_052783415.1;protein_1009,GCF_009662195.1;protein_1005,GCF_022700975.1;protein_4288,GCF_053570475.1;protein_1030,GCF_022370975.1;protein_983,GCF_004119775.1;protein_1049,GCF_022453545.1;protein_1009,GCF_014879275.1;protein_1047,GCF_018884165.1;protein_1020,GCF_027942395.1;protein_3375,GCF_044499385.1;protein_1004,GCF_009913275.1;protein_2076,GCF_047120225.1;protein_1031,GCF_030123145.1;protein_1001,GCF_030053655.1;protein_3573,,,,,,,,,,,,,,,
GCF_028748025.1;protein_1003,GCF_025161015.1;protein_1008,GCF_024799885.1;protein_995,GCF_051515105.1;protein_1031,GCF_052120895.1;protein_618,GCF_022700935.1;protein_428,GCF_037997165.1;protein_1034,GCF_006741845.1;protein_1031,GCF_051028965.1;protein_3991,GCF_039620435.1;protein_2282,GCF_052783415.1;protein_1010,GCF_009662195.1;protein_1006,GCF_022700975.1;protein_4287,GCF_053570475.1;protein_1031,GCF_022370975.1;protein_984,GCF_004119775.1;protein_1050,GCF_022453545.1;protein_1010,GCF_014879275.1;protein_1048,GCF_018884165.1;protein_1021,GCF_027942395.1;protein_3374,GCF_044499385.1;protein_1005,GCF_009913275.1;protein_2075,GCF_047120225.1;protein_1032,GCF_030123145.1;protein_1002,GCF_030053655.1;protein_3572,,,,,,,,,,,,,,,
GCF_028748025.1;protein_1004,GCF_025161015.1;protein_1009,GCF_024799885.1;protein_996,GCF_051515105.1;protein_1032,GCF_052120895.1;protein_619,GCF_022700935.1;protein_427,GCF_037997165.1;protein_1035,GCF_006741845.1;protein_1032,GCF_051028965.1;protein_3990,GCF_039620435.1;protein_2281,GCF_052783415.1;protein_1011,GCF_009662195.1;protein_1007,GCF_022700975.1;protein_4286,GCF_053570475.1;protein_1032,GCF_022370975.1;protein_985,GCF_004119775.1;protein_1051,GCF_022453545.1;protein_1011,GCF_014879275.1;protein_1049,GCF_018884165.1;protein_1022,GCF_027942395.1;protein_3373,GCF_044499385.1;protein_1006,GCF_009913275.1;protein_2074,GCF_047120225.1;protein_1033,GCF_030123145.1;protein_1003,GCF_030053655.1;protein_3571,,,,,,,,,,,,,,,
GCF_028748025.1;protein_1005,GCF_025161015.1;protein_1010,GCF_024799885.1;protein_997,GCF_051515105.1;protein_1033,GCF_052120895.1;protein_620,GCF_022700935.1;protein_426,GCF_037997165.1;protein_1036,GCF_006741845.1;protein_1033,GCF_051028965.1;protein_3989,GCF_039620435.1;protein_2280,GCF_052783415.1;protein_1012,GCF_009662195.1;protein_1008,GCF_022700975.1;protein_4285,GCF_053570475.1;protein_1033,GCF_022370975.1;protein_986,GCF_004119775.1;protein_1052,GCF_022453545.1;protein_1012,GCF_014879275.1;protein_1050,GCF_018884165.1;protein_1023,GCF_027942395.1;protein_3372,GCF_044499385.1;protein_1007,GCF_009913275.1;protein_2073,GCF_047120225.1;protein_1034,GCF_030123145.1;protein_1004,GCF_030053655.1;protein_3570,,,,,,,,,,,,,,,
GCF_028748025.1;protein_1006,GCF_025161015.1;protein_1011,GCF_024799885.1;protein_998,GCF_051515105.1;protein_1034,GCF_052120895.1;protein_621,GCF_022700935.1;protein_425,GCF_037997165.1;protein_1037,GCF_006741845.1;protein_1034,GCF_051028965.1;protein_3988,GCF_039620435.1;protein_2279,GCF_052783415.1;protein_1013,GCF_009662195.1;protein_1009,GCF_022700975.1;protein_4284,GCF_053570475.1;protein_1034,GCF_022370975.1;protein_987,GCF_004119775.1;protein_1053,GCF_022453545.1;protein_1013,GCF_014879275.1;protein_1051,GCF_018884165.1;protein_1024,GCF_027942395.1;protein_3371,GCF_044499385.1;protein_1008,GCF_009913275.1;protein_2072,GCF_047120225.1;protein_1035,GCF_030123145.1;protein_1005,GCF_030053655.1;protein_3569,,,,,,,,,,,,,,,
GCF_028748025.1;protein_1007,GCF_025161015.1;protein_1012,GCF_024799885.1;protein_999,GCF_051515105.1;protein_1035,GCF_052120895.1;protein_622,GCF_022700935.1;protein_424,GCF_037997165.1;protein_1038,GCF_006741845.1;protein_1035,GCF_051028965.1;protein_3987,GCF_039620435.1;protein_2278,GCF_052783415.1;protein_1014,GCF_009662195.1;protein_1010,GCF_022700975.1;protein_4283,GCF_053570475.1;protein_1035,GCF_022370975.1;protein_988,GCF_004119775.1;protein_1054,GCF_022453545.1;protein_1014,GCF_014879275.1;protein_1052,GCF_018884165.1;protein_1025,GCF_027942395.1;protein_3370,GCF_044499385.1;protein_1009,GCF_009913275.1;protein_2071,GCF_047120225.1;protein_1036,GCF_030123145.1;protein_1006,GCF_030053655.1;protein_3568,,,,,,,,,,,,,,,
