GCF_006337745.1;protein_0,GCF_016749335.1;protein_1456,GCF_030062605.1;protein_90,GCF_003636855.2;protein_387,GCF_007836855.1;protein_0,,,,,
GCF_006337745.1;protein_1,GCF_016749335.1;protein_1455,GCF_030062605.1;protein_89,GCF_003636855.2;protein_386,GCF_007836855.1;protein_1,,,,,
GCF_006337745.1;protein_10,,GCF_030062605.1;protein_78,,GCF_007836855.1;protein_11,,,,,
GCF_006337745.1;protein_1000,GCF_016749335.1;protein_510,GCF_030062605.1;protein_806,,GCF_007836855.1;protein_652,,,,,
GCF_006337745.1;protein_1001,GCF_016749335.1;protein_509,GCF_030062605.1;protein_807,GCF_003636855.2;protein_1323,GCF_007836855.1;protein_653,,,,,
GCF_006337745.1;protein_1002,GCF_016749335.1;protein_502,GCF_030062605.1;protein_382,GCF_003636855.2;protein_1324,GCF_007836855.1;protein_660,,,,,
GCF_006337745.1;protein_1003,GCF_016749335.1;protein_503,GCF_030062605.1;protein_381,GCF_003636855.2;protein_1325,GCF_007836855.1;protein_659,,,,,
GCF_006337745.1;protein_1004,GCF_016749335.1;protein_504,GCF_030062605.1;protein_380,GCF_003636855.2;protein_1326,GCF_007836855.1;protein_658,,,,,
GCF_006337745.1;protein_1005,GCF_016749335.1;protein_505,GCF_030062605.1;protein_379,GCF_003636855.2;protein_1327,GCF_007836855.1;protein_657,,,,,
GCF_006337745.1;protein_1006,GCF_016749335.1;protein_506,GCF_030062605.1;protein_378,GCF_003636855.2;protein_1328,GCF_007836855.1;protein_656,,,,,
GCF_006337745.1;protein_1007,,,,GCF_007836855.1;protein_655,,,,,
GCF_006337745.1;protein_1008,GCF_016749335.1;protein_508,GCF_030062605.1;protein_808,GCF_003636855.2;protein_1330,GCF_007836855.1;protein_654,,,,,
GCF_006337745.1;protein_1010,GCF_016749335.1;protein_540,GCF_030062605.1;protein_776,GCF_003636855.2;protein_1332,GCF_007836855.1;protein_623,,,,,
GCF_006337745.1;protein_1011,GCF_016749335.1;protein_541,GCF_030062605.1;protein_775,GCF_003636855.2;protein_1333,GCF_007836855.1;protein_622,,,,,
GCF_006337745.1;protein_1012,GCF_016749335.1;protein_542,GCF_030062605.1;protein_774,GCF_003636855.2;protein_1334,,,,,,
GCF_006337745.1;protein_1013,GCF_016749335.1;protein_543,GCF_030062605.1;protein_773,GCF_003636855.2;protein_1335,GCF_007836855.1;protein_620,,,,,
GCF_006337745.1;protein_1014,GCF_016749335.1;protein_544,GCF_030062605.1;protein_772,GCF_003636855.2;protein_1336,GCF_007836855.1;protein_619,,,,,
GCF_006337745.1;protein_1015,,GCF_030062605.1;protein_771,,,,,,,
GCF_006337745.1;protein_1016,GCF_016749335.1;protein_495,GCF_030062605.1;protein_770,GCF_003636855.2;protein_1338,GCF_007836855.1;protein_617,,,,,
GCF_006337745.1;protein_1017,GCF_016749335.1;protein_494,GCF_030062605.1;protein_769,GCF_003636855.2;protein_1339,GCF_007836855.1;protein_616,,,,,
GCF_006337745.1;protein_1018,GCF_016749335.1;protein_493,GCF_030062605.1;protein_768,GCF_003636855.2;protein_1340,GCF_007836855.1;protein_615,,,,,
GCF_006337745.1;protein_1019,GCF_016749335.1;protein_492,GCF_030062605.1;protein_767,GCF_003636855.2;protein_1341,GCF_007836855.1;protein_614,,,,,
GCF_006337745.1;protein_102,,,GCF_003636855.2;protein_425,GCF_007836855.1;protein_104,,,,,
GCF_006337745.1;protein_1020,GCF_016749335.1;protein_491,GCF_030062605.1;protein_766,GCF_003636855.2;protein_1342,GCF_007836855.1;protein_613,,,,,
GCF_006337745.1;protein_1021,GCF_016749335.1;protein_490,GCF_030062605.1;protein_765,GCF_003636855.2;protein_1343,GCF_007836855.1;protein_612,,,,,
GCF_006337745.1;protein_1022,GCF_016749335.1;protein_489,GCF_030062605.1;protein_764,GCF_003636855.2;protein_1344,GCF_007836855.1;protein_611,,,,,
GCF_006337745.1;protein_1023,GCF_016749335.1;protein_488,GCF_030062605.1;protein_763,GCF_003636855.2;protein_1345,GCF_007836855.1;protein_610,,,,,
