GCF_010917155.1;protein_0,GCF_030406585.1;protein_1102,GCF_004295525.1;protein_435,GCF_003939085.1;protein_212,GCF_006337485.1;protein_1209,,,,,
GCF_010917155.1;protein_1,GCF_030406585.1;protein_1101,GCF_004295525.1;protein_434,GCF_003939085.1;protein_211,GCF_006337485.1;protein_1210,,,,,
GCF_010917155.1;protein_10,GCF_030406585.1;protein_1093,GCF_004295525.1;protein_425,GCF_003939085.1;protein_203,GCF_006337485.1;protein_1223,,,,,
GCF_010917155.1;protein_100,GCF_030406585.1;protein_1004,GCF_004295525.1;protein_307,GCF_003939085.1;protein_119,GCF_006337485.1;protein_1313,,,,,
GCF_010917155.1;protein_1000,GCF_030406585.1;protein_1133,GCF_004295525.1;protein_1467,GCF_003939085.1;protein_243,GCF_006337485.1;protein_1178,,,,,
GCF_010917155.1;protein_1001,GCF_030406585.1;protein_1132,GCF_004295525.1;protein_1468,GCF_003939085.1;protein_242,GCF_006337485.1;protein_1179,,,,,
GCF_010917155.1;protein_1002,GCF_030406585.1;protein_1131,GCF_004295525.1;protein_1469,GCF_003939085.1;protein_241,GCF_006337485.1;protein_1180,,,,,
GCF_010917155.1;protein_1003,GCF_030406585.1;protein_1130,GCF_004295525.1;protein_1470,GCF_003939085.1;protein_240,GCF_006337485.1;protein_1181,,,,,
GCF_010917155.1;protein_1004,GCF_030406585.1;protein_1129,GCF_004295525.1;protein_1471,GCF_003939085.1;protein_239,GCF_006337485.1;protein_1182,,,,,
GCF_010917155.1;protein_1005,GCF_030406585.1;protein_1128,GCF_004295525.1;protein_1472,GCF_003939085.1;protein_238,GCF_006337485.1;protein_1183,,,,,
GCF_010917155.1;protein_1006,GCF_030406585.1;protein_1127,GCF_004295525.1;protein_1473,GCF_003939085.1;protein_237,GCF_006337485.1;protein_1184,,,,,
GCF_010917155.1;protein_1007,GCF_030406585.1;protein_1126,GCF_004295525.1;protein_1474,GCF_003939085.1;protein_236,GCF_006337485.1;protein_1185,,,,,
GCF_010917155.1;protein_1008,GCF_030406585.1;protein_1125,GCF_004295525.1;protein_1475,GCF_003939085.1;protein_235,GCF_006337485.1;protein_1186,,,,,
GCF_010917155.1;protein_1009,GCF_030406585.1;protein_1124,GCF_004295525.1;protein_1476,GCF_003939085.1;protein_234,GCF_006337485.1;protein_1187,,,,,
GCF_010917155.1;protein_101,GCF_030406585.1;protein_1003,GCF_004295525.1;protein_306,GCF_003939085.1;protein_118,GCF_006337485.1;protein_1314,,,,,
GCF_010917155.1;protein_1010,GCF_030406585.1;protein_1123,GCF_004295525.1;protein_1477,GCF_003939085.1;protein_233,GCF_006337485.1;protein_1188,,,,,
GCF_010917155.1;protein_1011,GCF_030406585.1;protein_1122,GCF_004295525.1;protein_1478,GCF_003939085.1;protein_232,GCF_006337485.1;protein_1189,,,,,
GCF_010917155.1;protein_1012,GCF_030406585.1;protein_1121,GCF_004295525.1;protein_1479,GCF_003939085.1;protein_231,GCF_006337485.1;protein_1190,,,,,
GCF_010917155.1;protein_1013,GCF_030406585.1;protein_1120,GCF_004295525.1;protein_1480,GCF_003939085.1;protein_230,GCF_006337485.1;protein_1191,,,,,
