GCF_000685705.1,GCF_020735805.1,GCF_021184145.1,GCF_017821655.1,GCF_016757555.1,GCF_006337485.1,GCF_006337745.1,GCF_030323385.1,GCF_002952455.1,GCF_002952675.1
GCF_000685705.1;protein_0,GCF_020735805.1;protein_571,GCF_021184145.1;protein_948,GCF_017821655.1;protein_0,GCF_016757555.1;protein_0,GCF_006337485.1;protein_1494,GCF_006337745.1;protein_1491,GCF_030323385.1;protein_149,GCF_002952455.1;protein_1480,GCF_002952675.1;protein_1485
GCF_000685705.1;protein_1,GCF_020735805.1;protein_572,GCF_021184145.1;protein_949,GCF_017821655.1;protein_1,GCF_016757555.1;protein_1,GCF_006337485.1;protein_1493,GCF_006337745.1;protein_1490,GCF_030323385.1;protein_150,GCF_002952455.1;protein_1479,GCF_002952675.1;protein_1484
GCF_000685705.1;protein_10,GCF_020735805.1;protein_581,GCF_021184145.1;protein_958,GCF_017821655.1;protein_10,GCF_016757555.1;protein_10,GCF_006337485.1;protein_1484,GCF_006337745.1;protein_1481,GCF_030323385.1;protein_159,GCF_002952455.1;protein_1470,GCF_002952675.1;protein_1475
GCF_000685705.1;protein_100,GCF_020735805.1;protein_217,GCF_021184145.1;protein_599,GCF_017821655.1;protein_1178,GCF_016757555.1;protein_1179,GCF_006337485.1;protein_273,GCF_006337745.1;protein_296,GCF_030323385.1;protein_1348,GCF_002952455.1;protein_229,GCF_002952675.1;protein_230
GCF_000685705.1;protein_1001,GCF_020735805.1;protein_1280,GCF_021184145.1;protein_92,GCF_017821655.1;protein_699,GCF_016757555.1;protein_584,GCF_006337485.1;protein_714,GCF_006337745.1;protein_780,GCF_030323385.1;protein_865,GCF_002952455.1;protein_862,GCF_002952675.1;protein_866
GCF_000685705.1;protein_1002,GCF_020735805.1;protein_1281,GCF_021184145.1;protein_93,GCF_017821655.1;protein_700,GCF_016757555.1;protein_583,GCF_006337485.1;protein_713,GCF_006337745.1;protein_779,GCF_030323385.1;protein_866,GCF_002952455.1;protein_863,GCF_002952675.1;protein_867
GCF_000685705.1;protein_1003,GCF_020735805.1;protein_1282,GCF_021184145.1;protein_94,GCF_017821655.1;protein_701,GCF_016757555.1;protein_582,GCF_006337485.1;protein_712,GCF_006337745.1;protein_778,GCF_030323385.1;protein_867,GCF_002952455.1;protein_864,GCF_002952675.1;protein_868
GCF_000685705.1;protein_1004,GCF_020735805.1;protein_1283,GCF_021184145.1;protein_95,GCF_017821655.1;protein_702,GCF_016757555.1;protein_581,GCF_006337485.1;protein_711,GCF_006337745.1;protein_777,GCF_030323385.1;protein_868,GCF_002952455.1;protein_865,GCF_002952675.1;protein_869
GCF_000685705.1;protein_1005,GCF_020735805.1;protein_1284,GCF_021184145.1;protein_96,GCF_017821655.1;protein_703,GCF_016757555.1;protein_580,GCF_006337485.1;protein_710,GCF_006337745.1;protein_776,GCF_030323385.1;protein_869,GCF_002952455.1;protein_866,GCF_002952675.1;protein_870
GCF_000685705.1;protein_1006,GCF_020735805.1;protein_1285,GCF_021184145.1;protein_97,GCF_017821655.1;protein_704,GCF_016757555.1;protein_579,GCF_006337485.1;protein_709,GCF_006337745.1;protein_775,GCF_030323385.1;protein_870,GCF_002952455.1;protein_867,GCF_002952675.1;protein_871
